segment_id,start_time,end_time,center_time,timeline_emotion,pitch_mean,pitch_std,rms_mean,rms_std,zcr_mean,zcr_std,pause_ratio,speaking_continuity,emotion_id,segment_feedback
0,0.0,1.0,0.5,angry,231.33352466148398,42.78351456819205,0.41340366118247546,0.2420897956647798,0.06254650297619048,0.05217725110080957,0.0,1.0,3,Voice energy is strong and clear. Speech continuity is good. Pitch variation is moderate.
1,1.0,2.0,1.5,angry,182.42248403145757,41.83764479119046,0.19672134340766612,0.18308184477530934,0.10229104662698413,0.09098525133522997,0.06399999999999995,0.936,3,Voice energy is strong and clear. Speech continuity is good. Pitch variation is moderate.
2,2.0,3.0,2.5,angry,154.26615598685333,54.00701996333212,0.17855933180544525,0.20062403767152145,0.1486080109126984,0.12772647964121864,0.16000000000000003,0.84,3,Voice energy is strong and clear. Speech continuity is acceptable but could be smoother. Pitch variation is moderate.
3,3.0,4.0,3.5,angry,206.24821696281924,41.393469757726876,0.3141621236526777,0.23615053089973043,0.13678075396825398,0.16731959676112038,0.0,1.0,3,Voice energy is strong and clear. Speech continuity is good. Pitch variation is moderate.
4,4.0,5.0,4.5,angry,165.43545621795258,41.64525607030183,0.21825479053788716,0.16397642229582374,0.061042906746031744,0.03690028660742593,0.0,1.0,3,Voice energy is strong and clear. Speech continuity is good. Pitch variation is moderate.
5,5.0,6.0,5.5,disgust,0.0,0.0,0.010236336624190684,0.00931983149367763,0.12310887896825397,0.1282399668463138,0.19199999999999995,0.808,5,Voice energy is low; the speaker may need to speak more clearly or loudly. Speech continuity is acceptable but could be smoother. Pitch is relatively stable.
6,6.0,7.0,6.5,disgust,177.85212999412735,18.471168779426456,0.08582980469578788,0.0712852063117171,0.07387772817460317,0.03166583694965667,0.0,1.0,5,Voice energy is moderate. Speech continuity is good. Pitch is relatively stable.
7,7.0,8.0,7.5,disgust,213.95438727893028,47.46002989202181,0.14898507249733758,0.10144767855196143,0.2072327628968254,0.18251251824171183,0.0,1.0,5,Voice energy is moderate. Speech continuity is good. Pitch variation is moderate.
8,8.0,9.0,8.5,silence,80.3910040082507,14.89173947018871,0.03188005568725722,0.04202547867240616,0.027235243055555556,0.018918743315732976,0.19199999999999995,0.808,6,Voice energy is low; the speaker may need to speak more clearly or loudly. Speech continuity is acceptable but could be smoother. Pitch is relatively stable.
9,9.0,10.0,9.5,fear,185.62063340853015,23.602530200071072,0.18767291070922973,0.07461916431682313,0.06394159226190477,0.01608599720661752,0.0,1.0,4,Voice energy is strong and clear. Speech continuity is good. Pitch variation is moderate.
10,10.0,11.0,10.5,fear,98.52234984732145,10.72464568350657,0.11425093029226575,0.01874431929712674,0.060205853174603176,0.025071540517881064,0.0,1.0,4,Voice energy is moderate. Speech continuity is good. Pitch is relatively stable.
11,11.0,12.0,11.5,happy,416.54004187252804,5.335022954268484,0.04485638919337246,0.054256938478619544,0.03921750992063492,0.030663799055660787,0.22399999999999998,0.776,1,Voice energy is low; the speaker may need to speak more clearly or loudly. This segment contains noticeable silence or hesitation. Pitch is relatively stable.
12,12.0,13.0,12.5,happy,320.4650054902199,28.684535437353258,0.14440039007200134,0.10111653577722254,0.10032242063492064,0.050206007150530876,0.0,1.0,1,Voice energy is moderate. Speech continuity is good. Pitch variation is moderate.
13,13.0,14.0,13.5,silence,199.78580778422946,7.352074256002882,0.06231170021725582,0.09767598727511373,0.09227740575396826,0.12579142067255983,0.28800000000000003,0.712,6,Voice energy is moderate. This segment contains noticeable silence or hesitation. Pitch is relatively stable.
14,14.0,15.0,14.5,neutral,182.45516026764386,4.030843472504296,0.3111079887501777,0.11141077166697233,0.042224702380952384,0.008768740086683028,0.0,1.0,0,Voice energy is strong and clear. Speech continuity is good. Pitch is relatively stable.
15,15.0,16.0,15.5,neutral,178.1954172072607,10.749957569200333,0.1009862473426712,0.09427936434293059,0.024739583333333332,0.021905814198872543,0.19199999999999995,0.808,0,Voice energy is moderate. Speech continuity is acceptable but could be smoother. Pitch is relatively stable.
16,16.0,17.0,16.5,sad,153.768994712311,4.775103614655633,0.23547956855997207,0.13312966820101207,0.04410032242063492,0.014669819824424469,0.0,1.0,2,Voice energy is strong and clear. Speech continuity is good. Pitch is relatively stable.
17,17.0,18.0,17.5,sad,124.6207342122252,16.882990752953432,0.13700373642264851,0.090368007874195,0.050858754960317464,0.013818680167650104,0.0,1.0,2,Voice energy is moderate. Speech continuity is good. Pitch is relatively stable.
18,18.0,18.8539375,18.42696875,sad,0.0,0.0,0.03840329289613735,0.03409974015702293,0.027901785714285716,0.02629544908059262,0.392,0.608,2,Voice energy is low; the speaker may need to speak more clearly or loudly. This segment contains noticeable silence or hesitation. Pitch is relatively stable.
